gcf,cds_count
GCF_c0.30_00093,12.28571429
GCF_c0.30_00123,19.85714286
GCF_c0.30_00175,18
GCF_c0.30_00176,35
GCF_c0.30_00191,11
GCF_c0.30_00206,18
GCF_c0.30_00330,14.75
GCF_c0.30_00341,36
GCF_c0.30_00378,15.16666667
GCF_c0.30_00382,35.78947368
GCF_c0.30_00397,18
GCF_c0.30_00402,18
GCF_c0.30_00406,15.84848485
GCF_c0.30_00411,18.64285714
GCF_c0.30_00431,41.33333333
GCF_c0.30_00439,38
GCF_c0.30_00444,13
GCF_c0.30_00465,17
GCF_c0.30_00476,15.75
GCF_c0.30_00479,29.5
GCF_c0.30_00509,19.33333333
GCF_c0.30_00567,10.33333333
GCF_c0.30_00599,18
GCF_c0.30_00697,10.33333333
GCF_c0.30_00829,20.25
GCF_c0.30_00839,22
GCF_c0.30_00888,26.2
GCF_c0.30_00908,18.66666667
GCF_c0.30_00923,9.8
GCF_c0.30_00944,9.952380952
GCF_c0.30_00949,9
GCF_c0.30_00950,10.22222222
GCF_c0.30_00959,9
GCF_c0.30_00978,33.67857143
GCF_c0.30_00991,38.78571429
GCF_c0.30_00995,15.17647059
GCF_c0.30_00999,17.66666667
GCF_c0.30_01013,16.18181818
GCF_c0.30_01019,43.42281879
GCF_c0.30_01020,17.24299065
GCF_c0.30_01021,10.65806452
GCF_c0.30_01022,36.24561404
GCF_c0.30_01023,37.65217391
GCF_c0.30_01102,27.66666667
GCF_c0.30_01108,11.75
GCF_c0.30_01132,27.66666667
GCF_c0.30_01174,34
GCF_c0.30_01231,31.25
GCF_c0.30_01278,16
GCF_c0.30_01279,31.11111111
GCF_c0.30_01311,30.5
GCF_c0.30_01343,7
GCF_c0.30_01348,17.66666667
GCF_c0.30_01362,20.375
GCF_c0.30_01391,36.33333333
GCF_c0.30_01405,17
GCF_c0.30_01406,10
GCF_c0.30_01484,40.61538462
GCF_c0.30_01485,44.5
GCF_c0.30_01490,39.33333333
GCF_c0.30_01493,49.75
GCF_c0.30_01506,37.11428571
GCF_c0.30_01518,41
GCF_c0.30_01519,20
GCF_c0.30_01527,18
GCF_c0.30_01528,22.66666667
GCF_c0.30_01529,29.52380952
GCF_c0.30_01533,14.125
GCF_c0.30_01534,28.27272727
GCF_c0.30_01535,11.35714286
GCF_c0.30_01541,17.5
GCF_c0.30_01567,31.33333333
GCF_c0.30_01641,32.33333333
GCF_c0.30_01685,19
GCF_c0.30_01686,22.33333333
GCF_c0.30_01687,14
GCF_c0.30_01718,17
GCF_c0.30_01719,39.33333333
GCF_c0.30_01770,20.01123596
GCF_c0.30_01780,14.8
GCF_c0.30_01784,28.15789474
GCF_c0.30_01788,21.7
GCF_c0.30_01789,33.3125
GCF_c0.30_01827,19.91666667
GCF_c0.30_01845,41.85714286
GCF_c0.30_01851,10
GCF_c0.30_01869,11.39534884
