GCF ID,NRPS,Others,PKS-NRP_Hybrids,PKSI,PKSother,RiPPs,Saccharides,Terpene
GCF_c0.30_00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
GCF_c0.30_00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
GCF_c0.30_00175,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00176,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
GCF_c0.30_00191,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GCF_c0.30_00330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
GCF_c0.30_00341,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00378,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
GCF_c0.30_00382,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00397,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GCF_c0.30_00402,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GCF_c0.30_00406,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00411,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
GCF_c0.30_00431,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00439,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
GCF_c0.30_00465,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_00476,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
GCF_c0.30_00479,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
GCF_c0.30_00509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GCF_c0.30_00567,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_00599,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_00697,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
GCF_c0.30_00829,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00839,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_00888,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
GCF_c0.30_00908,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_00923,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
GCF_c0.30_00944,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
GCF_c0.30_00949,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GCF_c0.30_00950,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
GCF_c0.30_00959,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
GCF_c0.30_00978,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00991,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00995,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_00999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
GCF_c0.30_01013,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01019,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0
GCF_c0.30_01020,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01021,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0
GCF_c0.30_01022,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01023,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01102,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_01108,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
GCF_c0.30_01132,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_01174,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01231,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
GCF_c0.30_01279,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01311,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
GCF_c0.30_01343,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_01348,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01362,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
GCF_c0.30_01391,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01405,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
GCF_c0.30_01406,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
GCF_c0.30_01484,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01485,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01490,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01493,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01506,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01518,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_c0.30_01519,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
GCF_c0.30_01527,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
