BGC_ID,num_compounds,compounds,num_activity,activity,any_known_activity
BGC0000001,2,abyssomicin C;atrop-abyssomicin C,2,antibacterial;cytotoxic,TRUE
BGC0000002,1,aculeximycin,2,antibacterial;antifungal,TRUE
BGC0000003,1,AF-toxin,0,,FALSE
BGC0000004,1,aflatoxin G1,0,,FALSE
BGC0000006,1,aflatoxin,0,,FALSE
BGC0000007,1,aflatoxin,0,,FALSE
BGC0000008,1,aflatoxin,0,,FALSE
BGC0000009,1,aflatoxin,0,,FALSE
BGC0000010,1,aflatoxin,0,,FALSE
BGC0000011,1,sterigmatocystin,0,,FALSE
BGC0000012,1,alternapyrone,0,,FALSE
BGC0000013,1,alternariol,0,,FALSE
BGC0000014,1,ambruticin,1,antifungal,TRUE
BGC0000016,1,amphotericin B,1,antifungal,TRUE
BGC0000017,2,anatoxin-a;homoanatoxin-a,1,neurotoxic,TRUE
BGC0000018,1,angolamycin,1,antibacterial,TRUE
BGC0000019,1,angolamycin,1,antibacterial,TRUE
BGC0000020,2,maytansine;ansamitocin P-3,0,,FALSE
BGC0000021,1,apoptolidin,1,cytotoxic,TRUE
BGC0000022,1,asperfuranone,0,,FALSE
BGC0000023,1,aurafuron A,3,antifungal;cytotoxic;surfactant,TRUE
BGC0000024,1,aureothin,5,antibacterial;antifungal;antiprotozoal;cytotoxic;insecticidal,TRUE
BGC0000025,1,avermectin,3,anthelmintic;cytotoxic;insecticidal,TRUE
BGC0000026,2,avilamycin A;avilamycin C,1,antibacterial,TRUE
BGC0000027,4,ankaflavin;monascin;rubropunctatine;monascorubrin,0,,FALSE
BGC0000028,1,bafilomycin B1,4,antibacterial;antifungal;antineoplastic;immunosuppressive,TRUE
BGC0000029,1,BE-14106,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000030,1,bikaverin,0,,FALSE
BGC0000031,1,borrelidin,5,antibacterial;antifungal;antiviral;cytotoxic;inhibitor,TRUE
BGC0000032,1,A23187,2,antibacterial;antifungal,TRUE
BGC0000033,1,calicheamicin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000034,1,candicidin,1,antifungal,TRUE
BGC0000035,1,chalcomycin A,1,antibacterial,TRUE
BGC0000036,2,chlorothricin;deschlorothricin,1,antibacterial,TRUE
BGC0000037,1,cichorine,0,,FALSE
BGC0000038,1,coelimycin P1,1,surfactant,TRUE
BGC0000039,1,compactin,0,,FALSE
BGC0000040,1,concanamycin A,4,antiprotozoal;antiviral;cytotoxic;inhibitor,TRUE
BGC0000041,1,oronofacic acid,0,,FALSE
BGC0000042,1,cremimycin,2,antibacterial;antifungal,TRUE
BGC0000043,1,curacin A,1,cytotoxic,TRUE
BGC0000044,1,dawenol,0,,FALSE
BGC0000045,1,dehydrocurvularin,0,,FALSE
BGC0000046,1,depudecin,1,inhibitor,TRUE
BGC0000047,1,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000048,1,dothistromin,0,,FALSE
BGC0000050,1,E-837,2,antibacterial;antifungal,TRUE
BGC0000051,2,ebelactone A;ebelactone B,1,antifungal,TRUE
BGC0000052,1,ECO-02301,1,antifungal,TRUE
BGC0000053,1,elaiophylin,1,cytotoxic,TRUE
BGC0000054,1,erythromycin,1,antibacterial,TRUE
BGC0000055,4,erythromycin A;erythromycin B;erythromycin C;erythromycin D,2,antibacterial;inhibitor,TRUE
BGC0000056,1,esperamicin,0,,FALSE
BGC0000057,3,F9775A;F9775B;orsellinic acid,1,inhibitor,TRUE
BGC0000058,1,FD-891,2,antifungal;cytotoxic,TRUE
BGC0000059,1,filipin,2,antibacterial;antifungal,TRUE
BGC0000060,1,fostriecin,2,antifungal;cytotoxic,TRUE
BGC0000062,1,fumonisin B1,0,,FALSE
BGC0000063,1,fumonisin,0,,FALSE
BGC0000064,1,fusarin,0,,FALSE
BGC0000065,1,rustmicin,1,antifungal,TRUE
BGC0000066,1,geldanamycin,4,antibacterial;antifungal;antiprotozoal;cytotoxic,TRUE
BGC0000067,1,geldanamycin,4,antibacterial;antifungal;antiprotozoal;cytotoxic,TRUE
BGC0000068,1,geldanamycin,4,antibacterial;antifungal;antiprotozoal;cytotoxic,TRUE
BGC0000069,1,gephyronic acid,2,antifungal;cytotoxic,TRUE
BGC0000070,6,griseofulvin;epidechlorogriseofulvin;norlichexanthone;dehydrogriseofulvin;4-desmethylgriseofulvin;griseoxanthone B,3,antifungal;antioxidant;cytotoxic,TRUE
BGC0000072,1,gulmirecin A,1,antibacterial,TRUE
BGC0000073,1,halstoctacosanolide A,1,antibacterial,TRUE
BGC0000074,1,herbimycin A,4,antibacterial;antifungal;cytotoxic;herbicidal,TRUE
BGC0000075,2,hygrocin A;hygrocin B,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000076,1,hypothemycin,0,,FALSE
BGC0000077,1,hypothemycin,0,,FALSE
BGC0000078,1,incednine,2,cytotoxic;inhibitor,TRUE
BGC0000079,1,X-14547,2,antibacterial;antifungal,TRUE
BGC0000080,2,jerangolid A;jerangolid D,1,antifungal,TRUE
BGC0000081,1,kedarcidin,2,antibacterial;cytotoxic,TRUE
BGC0000082,1,kijanimicin,1,antibacterial,TRUE
BGC0000083,4,"lactimidomycin;8,9-dihydrolactimidomycin;8-hydroxy-8,9-dihydrolactidomycin;17-hydroxy-8-desmethoxy-isomigrastatin",4,antifungal;antiviral;cytotoxic;inhibitor,TRUE
BGC0000084,1,laidlomycin,2,antibacterial;cytotoxic,TRUE
BGC0000085,1,lankamycin,2,antibacterial;cytotoxic,TRUE
BGC0000086,1,lasalocid,2,antibacterial;antiprotozoal,TRUE
BGC0000087,1,lasalocid,2,antibacterial;antiprotozoal,TRUE
BGC0000088,1,monacolin K,0,,FALSE
BGC0000090,2,macbecin;macbecin II,2,anticancer;cytotoxic,TRUE
BGC0000091,2,marineosin A;marineosin B,1,cytotoxic,TRUE
BGC0000092,4,megalomicin A;megalomicin B;megalomicin C1;megalomicin C2,1,antibacterial,TRUE
BGC0000093,1,meilingmycin,3,anthelmintic;antibacterial;insecticidal,TRUE
BGC0000094,1,methymycin,1,antibacterial,TRUE
BGC0000096,1,midecamycin,1,antibacterial,TRUE
BGC0000097,1,ML-449,2,antibacterial;antifungal,TRUE
BGC0000098,1,monacolin K,0,,FALSE
BGC0000099,1,monascorubrin,0,,FALSE
BGC0000100,1,monensin,4,antibacterial;antiparasidal;antiprotozoal;ionophore,TRUE
BGC0000102,1,mycinamicin II,1,antibacterial,TRUE
BGC0000103,1,mycolactone B,2,cytotoxic;immunosuppressive,TRUE
BGC0000104,1,mycophenolic acid,1,inhibitor,TRUE
BGC0000105,1,nanchangmycin,4,anthelmintic;antibacterial;antiviral;insecticidal,TRUE
BGC0000106,1,naphthomycin A,2,antibacterial;cytotoxic,TRUE
BGC0000107,1,naphthopyrone,0,,FALSE
BGC0000108,1,natamycin,1,antifungal,TRUE
BGC0000109,1,LL-F28249α,1,anthelmintic,TRUE
BGC0000110,4,spectinabilin;orinocin;SNF4435C;SNF4435D,4,anthelmintic;antiprotozoal;antiviral;immunosuppressive,TRUE
BGC0000111,2,neocarzilin A;neocarzilin B,1,cytotoxic,TRUE
BGC0000112,1,neocarzinostatin,2,antibacterial;cytotoxic,TRUE
BGC0000113,1,niddamycin,1,antibacterial,TRUE
BGC0000114,1,nigericin,5,antibacterial;antifungal;antimalarial;cytotoxic;ionophore,TRUE
BGC0000115,1,nystatin A1,1,antifungal,TRUE
BGC0000116,1,nystatin-like Pseudonocardia polyene,1,antifungal,TRUE
BGC0000117,1,oligomycin,2,antifungal;cytotoxic,TRUE
BGC0000118,1,pactamycin,5,antibacterial;antifungal;antiprotozoal;antiviral;cytotoxic,TRUE
BGC0000119,1,7-deoxypactamycin,4,antibacterial;antifungal;antiprotozoal;cytotoxic,TRUE
BGC0000120,1,patulin,1,cytotoxic,TRUE
BGC0000121,1,RES-1214-2,0,,FALSE
BGC0000122,3,phenylnannolone A;phenylnannolone B;phenylnannolone C,1,inhibitor,TRUE
BGC0000123,1,phoslactomycin B,2,antifungal;cytotoxic,TRUE
BGC0000124,1,piericidin A1,5,antibacterial;antifungal;antiviral;cytotoxic;insecticidal,TRUE
BGC0000125,1,pimaricin,1,antifungal,TRUE
BGC0000126,1,pladienolide B,1,cytotoxic,TRUE
BGC0000127,1,pyoluteorin,1,antifungal,TRUE
BGC0000128,1,pyoluteorin,0,,FALSE
BGC0000129,1,pyripyropene A,0,,FALSE
BGC0000130,4,pyrrolomycin A;pyrrolomycin B;pyrrolomycin C;pyrrolomycin D,2,antibacterial;antifungal,TRUE
BGC0000131,1,pyrrolomycin,2,antibacterial;antifungal,TRUE
BGC0000132,1,pyrrolomycin,0,,FALSE
BGC0000133,1,quartromicin A1,1,antiviral,TRUE
BGC0000134,1,radicicol,0,,FALSE
BGC0000135,1,reveromycin A,2,antifungal;antiviral,TRUE
BGC0000136,1,rifamycin,1,antibacterial,TRUE
BGC0000137,1,rifamycin,0,,FALSE
BGC0000138,1,rimocidin,2,antifungal;antiprotozoal,TRUE
BGC0000140,1,4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one,1,cytotoxic,TRUE
BGC0000141,1,rubradirin,1,antibacterial,TRUE
BGC0000142,1,salinilactam,0,,FALSE
BGC0000143,1,salinomycin,4,antibacterial;antifungal;antiprotozoal;cytotoxic,TRUE
BGC0000144,1,salinomycin,3,anticoccidial;antifungal;antiprotozoal,TRUE
BGC0000145,1,salinosporamide A,1,cytotoxic,TRUE
BGC0000146,1,solanapyrone D,0,,FALSE
BGC0000147,1,soraphen A,1,antifungal,TRUE
BGC0000148,1,A83543A,0,,FALSE
BGC0000149,1,spirangien O,2,antifungal;cytotoxic,TRUE
BGC0000150,2,sporolide A;sporolide B,0,,FALSE
BGC0000151,4,stambomycin A;stambomycin B;stambomycin C;stambomycin D,3,antibacterial;antiproliferative;cytotoxic,TRUE
BGC0000152,1,sterigmatocystin,0,,FALSE
BGC0000153,1,stigmatellin,1,antifungal,TRUE
BGC0000154,1,stipitatic acid,1,antiplasmodial,TRUE
BGC0000156,3,"TAN-1612;1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione;desmethyl TAN-1612",1,inhibitor,TRUE
BGC0000157,1,tautomycetin,2,antifungal;cytotoxic,TRUE
BGC0000158,1,tautomycetin,3,antifungal;cytotoxic;inhibitor,TRUE
BGC0000159,1,tautomycin,4,antibacterial;antifungal;cytotoxic;inhibitor,TRUE
BGC0000160,1,terreic acid,0,,FALSE
BGC0000161,1,isoterrein,0,,FALSE
BGC0000162,1,tetrocarcin A,2,antibacterial;cytotoxic,TRUE
BGC0000163,1,tetronasin,2,antibacterial;antifungal,TRUE
BGC0000164,1,tetronomycin,2,antibacterial;antifungal,TRUE
BGC0000165,1,tiacumicin B,1,antibacterial,TRUE
BGC0000166,1,tylactone,1,antibacterial,TRUE
BGC0000167,1,vicenistatin,1,cytotoxic,TRUE
BGC0000168,4,viridicatumtoxin;previridicatumtoxin;5-hydroxyanthrotainin;8-O-desmethylanthrotainin,1,antibacterial,TRUE
BGC0000170,1,yanuthone D,0,,FALSE
BGC0000171,1,9-methylstreptimidone,2,antifungal;cytotoxic,TRUE
BGC0000172,2,basiliskamide A;basiliskamide B,1,antifungal,TRUE
BGC0000173,2,isobongkrekic acid;bongkrekic acid,3,antifungal;cytotoxic;inhibitor,TRUE
BGC0000174,1,bryostatin,1,cytotoxic,TRUE
BGC0000175,1,cycloheximide,2,antifungal;inhibitor,TRUE
BGC0000176,1,difficidin,1,antibacterial,TRUE
BGC0000177,5,iso-migrastatin;migrastatin;dorrigocin A;dorrigocin B;13-epi-dorrigocin A,3,antifungal;cytotoxic;inhibitor,TRUE
BGC0000178,1,elansolid A1,2,antibacterial;cytotoxic,TRUE
BGC0000179,1,etnangien,2,antibacterial;antiviral,TRUE
BGC0000180,1,legioliulin,1,fluorescent,TRUE
BGC0000181,1,macrolactin H,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000182,1,pseudomonic acid A,1,antibacterial,TRUE
BGC0000184,1,sorangicin A,1,antibacterial,TRUE
BGC0000185,1,tartrolon,2,antibacterial;cytotoxic,TRUE
BGC0000186,2,thailandamide;thailandamide lactone,1,cytotoxic,TRUE
BGC0000187,1,asukamycin,4,antibacterial;antifungal;cytotoxic;pigment,TRUE
BGC0000188,5,saxitoxin;neosaxitoxin;decarbamoylsaxitoxin;gonyautoxin 3;gonyautoxin 2,1,neurotoxic,TRUE
BGC0000189,4,3-(2'-hydroxy-3'-oxo-4'-methylpentyl)-indole;3-(2'-hydroxy-3'-oxo-4'-methylhexyl)-indole;3-(2'-acetoxy-3'-oxo-4'-methylpentyl)-indole;3-(2'-acetoxy-3'-oxo-4'-methylhexyl)-indole,0,,FALSE
BGC0000190,1,A-74528,1,antiviral,TRUE
BGC0000191,1,aclacinomycin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000192,1,aclacinomycin,0,,FALSE
BGC0000193,1,aclacinomycin,0,,FALSE
BGC0000194,1,actinorhodin,1,antibacterial,TRUE
BGC0000195,9,"alnumycin A;alnumycin B;alnumycin C;alnumycin P;prealnumycin;thalnumycin A;thalnumycin B;K1115A;1,6-dihydro-8-propylanthraquinone",2,antibacterial;cytotoxic,TRUE
BGC0000196,3,AQ-256;AQ-270a;AQ-284a,0,,FALSE
BGC0000197,1,aranciamycin,2,antibacterial;cytotoxic,TRUE
BGC0000198,1,arenimycin A,2,antibacterial;cytotoxic,TRUE
BGC0000199,3,arimetamycin B;arimetamycin C;arimetamycin A,1,cytotoxic,TRUE
BGC0000200,3,arixanthomycin A;arixanthomycin B;arixanthomycin C,2,antibacterial;cytotoxic,TRUE
BGC0000201,1,auricin,1,antibacterial,TRUE
BGC0000202,1,azicemicin B,1,antibacterial,TRUE
BGC0000203,1,BE-7585A,0,,FALSE
BGC0000204,4,benastatin A;benastatin B;BE-43767;TAN1532B,4,antibacterial;cytotoxic;inducer;inhibitor,TRUE
BGC0000205,1,bryostatin,0,,FALSE
BGC0000207,1,chartreusin,2,antibacterial;cytotoxic,TRUE
BGC0000208,1,chelocardin,1,antibacterial,TRUE
BGC0000209,1,chlortetracycline,1,antibacterial,TRUE
BGC0000210,1,chromomycin A3,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000211,1,chrysomycin,3,antibacterial;antiviral;cytotoxic,TRUE
BGC0000212,1,cinerubin B,2,antibacterial;cytotoxic,TRUE
BGC0000213,1,colabomycin E,2,antibacterial;inhibitor,TRUE
BGC0000214,1,cosmomycin B,1,cytotoxic,TRUE
BGC0000215,1,curamycin,1,antibacterial,TRUE
