Metric,CSEL,Stacking_NuSCV,Stacking_Ridge,Stacking_RF,Stacking_ETs,Stacking_LR,DF,Ada,Bagging,BNB,DT,ET,ETs,GBC,GNB,GP,KNN,LDA,LinearSVC,LR,NuSVC,PA,Perceptron,QDA,RF,Ridge,SGD,SVC,XGB
Overall ACC,0.786203704,0.696481481,0.708858025,0.676574074,0.679135802,0.681574074,0.6675,0.636728395,0.663919753,0.66654321,0.60191358,0.601728395,0.693888889,0.656450617,0.611944444,0.597006173,0.547345679,0.621820988,0.639382716,0.659228395,0.686666667,0.622037037,0.659197531,0.497777778,0.699012346,0.689012346,0.641728395,0.666512346,0.646728395
Overall RACCU,0.509284325,0.511433866,0.513230741,0.505875388,0.503937024,0.514642073,0.507828125,0.513779726,0.51989313,0.541746575,0.505951308,0.509712815,0.510119161,0.52999101,0.522308101,0.519821142,0.510182904,0.506649546,0.506124143,0.51269719,0.514842226,0.508830528,0.503288442,0.555807142,0.519411342,0.514722308,0.506045634,0.527030886,0.513272438
Overall RACC,0.506674468,0.507902806,0.509652806,0.499548697,0.492580133,0.509596251,0.501625,0.508148205,0.513514775,0.523609111,0.501751343,0.505305413,0.505651463,0.521248485,0.505977766,0.515546411,0.499806556,0.502581676,0.503167181,0.508643604,0.508085705,0.496822274,0.497608511,0.46469916,0.510608139,0.510126543,0.496553869,0.517405693,0.506381716
Kappa,0.565770611,0.382559927,0.406118447,0.353421801,0.367647641,0.349759369,0.332177097,0.262438592,0.310736475,0.298788483,0.201298354,0.195908929,0.380494967,0.284732987,0.215672768,0.167257975,0.094981046,0.239246475,0.273763838,0.30606712,0.361280897,0.247706065,0.321388335,0.063813345,0.384029303,0.364776343,0.289546202,0.308723412,0.283529846
Gwet AC1,0.582301902,0.406618677,0.433063411,0.360330495,0.362987662,0.381764546,0.345614991,0.291331596,0.351457214,0.382213487,0.212694856,0.216652968,0.399322014,0.348681115,0.253500814,0.223240463,0.112664782,0.253254705,0.287548164,0.335195428,0.392359819,0.257384796,0.323002868,0.087820291,0.420895758,0.395476386,0.290421959,0.364941019,0.312240211
Bennett S,0.572407407,0.392962963,0.417716049,0.353148148,0.358271605,0.363148148,0.335,0.27345679,0.327839506,0.33308642,0.20382716,0.20345679,0.387777778,0.312901235,0.223888889,0.194012346,0.094691358,0.243641975,0.278765432,0.31845679,0.373333333,0.244074074,0.318395062,-0.004444444,0.398024691,0.378024691,0.28345679,0.333024691,0.29345679
Kappa Unbiased,0.561871516,0.378268872,0.401032646,0.345615744,0.353325509,0.342685401,0.323532695,0.253986869,0.301495765,0.272372964,0.194600476,0.189086554,0.375405363,0.270540755,0.189542544,0.160416281,0.075470157,0.232882268,0.269496512,0.300336474,0.352526693,0.229210348,0.313662038,-0.128466056,0.372882108,0.358701851,0.275769035,0.295497522,0.273143097
Scott PI,0.561871516,0.378268872,0.401032646,0.345615744,0.353325509,0.342685401,0.323532695,0.253986869,0.301495765,0.272372964,0.194600476,0.189086554,0.375405363,0.270540755,0.189542544,0.160416281,0.075470157,0.232882268,0.269496512,0.300336474,0.352526693,0.229210348,0.313662038,-0.128466056,0.372882108,0.358701851,0.275769035,0.295497522,0.273143097
Kappa No Prevalence,0.572407407,0.392962963,0.417716049,0.353148148,0.358271605,0.363148148,0.335,0.27345679,0.327839506,0.33308642,0.20382716,0.20345679,0.387777778,0.312901235,0.223888889,0.194012346,0.094691358,0.243641975,0.278765432,0.31845679,0.373333333,0.244074074,0.318395062,-0.004444444,0.398024691,0.378024691,0.28345679,0.333024691,0.29345679
Chi-Squared,34.28002152,13.5270231,14.3014065,11.96987193,12.39883785,10.81504067,10.29189605,6.358148155,8.921516238,9.238955918,4.052880545,4.084507881,13.7942708,8.382672399,5.403128753,3.005812063,1.183362428,5.196490244,7.156987214,8.366884483,11.83886942,5.957612979,10.42731269,1.864502621,13.66199306,11.38764363,8.0637052,8.887169686,7.472760185
Phi-Squared,0.426919407,0.16829047,0.177786328,0.148878585,0.15418378,0.134563589,0.128648701,0.079044295,0.110736316,0.115003928,0.050377857,0.050624474,0.171422112,0.104114315,0.067315722,0.037461085,0.014766969,0.064595252,0.089144065,0.104127635,0.147491458,0.074190608,0.129751658,0.023103559,0.170107511,0.141645419,0.100177098,0.11050189,0.092935529
Cramer V,0.568886279,0.388650075,0.411212904,0.363917633,0.385900886,0.356774477,0.340609871,0.268985208,0.318843517,0.327200027,0.205260989,0.200488071,0.388928114,0.293490026,0.231690221,0.171018302,0.098137654,0.243109502,0.27755803,0.31147372,0.371990181,0.260151319,0.329339808,0.13250655,0.398787519,0.371829053,0.301034045,0.323714361,0.291582245
Mutual Information,0.359821314,0.126534386,0.132516797,0.112569903,0.118554963,0.099802812,0.096453461,0.057897193,0.08105248,0.089207241,0.03674697,0.036892831,0.129903162,0.075697891,0.050281261,0.027269765,0.010725352,0.047389748,0.065939616,0.076637976,0.111411147,0.055313653,0.097445455,0.018862075,0.129223775,0.104773311,0.074577422,0.08241218,0.068633487
Lambda B,0.529329928,0.276768207,0.31650641,0.267107688,0.234622144,0.214555985,0.208446734,0.097346307,0.112791991,0,0.142741684,0.091084586,0.269311247,0.077118946,0,0.012903226,0.00625,0.160605807,0.223859284,0.172951362,0.200711218,0.124459459,0.27406015,0,0.185508226,0.20967292,0.17263427,0.055740741,0.155137002
Lambda A,0.492123997,0.291046254,0.319990141,0.238872697,0.248039869,0.252877721,0.271786893,0.173480289,0.220128631,0.222628738,0.107301707,0.087544888,0.290442301,0.207589408,0.115315315,0.089254842,0.046431046,0.139494408,0.156880767,0.201365222,0.257675231,0.153097116,0.203650356,0.015939016,0.28942811,0.271324398,0.190501248,0.220725289,0.173695337
Overall J,0.670488789,0.531293473,0.543662425,0.511063349,0.513041061,0.509853548,0.498871905,0.460668038,0.487899253,0.476129255,0.428536432,0.426729068,0.529657214,0.47523409,0.430407896,0.414854492,0.371647568,0.448183828,0.46862101,0.485653208,0.515704614,0.447309953,0.493987927,0.298742843,0.528448629,0.5178894,0.471424682,0.485087007,0.471441461
Overall MCC,0.568886279,0.388650075,0.411212904,0.363917633,0.385900886,0.356774477,0.340609871,0.268985208,0.318843517,0.327200027,0.205260989,0.200488071,0.388928114,0.293490026,0.231690221,0.171018302,0.098137654,0.243109502,0.27755803,0.31147372,0.371990181,0.260151319,0.329339808,0.103018159,0.398787519,0.371829053,0.301034045,0.323714361,0.291582245
CBA,0.746888983,0.641183665,0.662533636,0.628783442,0.617329085,0.614026165,0.604530213,0.570334051,0.591608644,0.542475845,0.556838932,0.550500794,0.638638265,0.570493313,0.516147317,0.537602687,0.48135379,0.569156945,0.601221904,0.603745339,0.609579277,0.557779015,0.60929085,0.31389611,0.612216287,0.622062467,0.591310913,0.585916509,0.580772266
Pearson C,0.453148468,0.3555524,0.376788911,0.335994233,0.357938769,0.33322452,0.31757308,0.257444657,0.300616865,0.307952418,0.199210422,0.194087032,0.354720105,0.276246971,0.221794618,0.166697361,0.096823448,0.2345148,0.263256817,0.294829467,0.344939315,0.249669384,0.305443223,0.130109393,0.365887517,0.347152734,0.2850517,0.305826538,0.277184585
CSI,0.568981793,0.388799298,0.411448029,0.364050487,0.385950081,0.356997937,0.340778823,0.269184056,0.319077089,0.329289913,0.20535549,0.200614275,0.389132916,0.293871834,0.23226515,0.17105889,0.09816706,0.243159379,0.277667014,0.311625828,0.372244866,0.260191849,0.329464555,0.114873684,0.399199143,0.372038207,0.301076039,0.324392132,0.29181985
ARI,0.422160707,0.159346231,0.173108495,0.128960748,0.121368654,0.127127332,0.112755654,0.071032408,0.106860267,0.101746871,0.038318738,0.040848622,0.158033879,0.105015295,0.052160417,0.031021852,0.002156525,0.052400681,0.077597679,0.096361689,0.134995339,0.051890443,0.111142281,-7.88E-05,0.156944942,0.134951241,0.079428953,0.102507956,0.081433412
Bangdiwala B,0.653974233,0.503995946,0.520940944,0.473790944,0.47724018,0.486169638,0.462708758,0.426898334,0.468917147,0.503704474,0.374835271,0.379287914,0.500509663,0.472757986,0.415130322,0.384804565,0.320916081,0.398853419,0.421340482,0.453558744,0.495513363,0.408176154,0.448594412,0.382675938,0.518930879,0.494582544,0.428377892,0.48122887,0.440978065
Krippendorff Alpha,0.564594375,0.382135568,0.404758655,0.349685729,0.357346722,0.346773095,0.327760616,0.258627015,0.305842598,0.276898555,0.199610061,0.194132425,0.379291182,0.275079838,0.194582531,0.165636844,0.081218763,0.237653464,0.274038254,0.304687067,0.356551739,0.234001754,0.317930391,-0.121449183,0.376781773,0.362690124,0.280273591,0.299879909,0.277663749
TPR,0.753386516,0.634138009,0.660554799,0.659541782,0.698777468,0.599566864,0.618310036,0.550297882,0.541024373,0.434576376,0.593082315,0.569515638,0.645390699,0.486777514,0.72693143,0.464184385,0.474782822,0.624280561,0.619749737,0.582992084,0.592294409,0.623777999,0.669725881,0.905764674,0.573140405,0.606054012,0.650311767,0.507179665,0.565307692
TNR,0.818502518,0.756916193,0.75239207,0.706880574,0.687371736,0.756438974,0.71696648,0.714877683,0.771353802,0.860315978,0.614647269,0.632779993,0.746681002,0.795097188,0.491651538,0.704042021,0.622582033,0.621307675,0.661733598,0.72902589,0.775415093,0.634781864,0.664541763,0.160628268,0.815083114,0.764309344,0.650391942,0.800313336,0.726312506
PPV,0.754873001,0.670537296,0.67765894,0.646236099,0.647852515,0.658319748,0.653048493,0.615103936,0.65548273,0.713312157,0.556431279,0.557429119,0.668039657,0.651659854,0.540643095,0.556705864,0.505171424,0.568243111,0.5944487,0.630089127,0.676014277,0.576857747,0.61394855,0.467163951,0.71047023,0.67045695,0.606305515,0.676637911,0.618789144
NPV,0.81120155,0.716007098,0.732290249,0.715442519,0.737898443,0.699670288,0.693232637,0.658088612,0.670293273,0.650375314,0.646550117,0.641503801,0.718154475,0.654209112,0.705304237,0.61718551,0.593797841,0.67248741,0.679401993,0.681144556,0.700765953,0.684966089,0.710712916,0.696190476,0.699704537,0.703256107,0.695142853,0.664653352,0.673230358
ACC,0.786203704,0.696481481,0.708858025,0.676574074,0.679135802,0.681574074,0.6675,0.636728395,0.663919753,0.66654321,0.60191358,0.601728395,0.693888889,0.656450617,0.611944444,0.597006173,0.547345679,0.621820988,0.639382716,0.659228395,0.686666667,0.622037037,0.659197531,0.497777778,0.699012346,0.689012346,0.641728395,0.666512346,0.646728395
F1,0.749771391,0.646004728,0.662320596,0.642142796,0.655818661,0.620092873,0.625525729,0.573418131,0.587521039,0.534891331,0.568315178,0.556656455,0.648347573,0.55452905,0.616919546,0.504374679,0.477331106,0.590557478,0.60213092,0.599707122,0.622099965,0.584206284,0.632592798,0.613742505,0.625350827,0.630084007,0.614857439,0.573153779,0.580588061
MCC,0.568886279,0.388650075,0.411212904,0.363917633,0.385900886,0.356774477,0.340609871,0.268985208,0.318843517,0.327200027,0.205260989,0.200488071,0.388928114,0.293490026,0.231690221,0.171018302,0.098137654,0.243109502,0.27755803,0.31147372,0.371990181,0.260151319,0.329339808,0.103018159,0.398787519,0.371829053,0.301034045,0.323714361,0.291582245
BM,0.571889034,0.391054203,0.412946869,0.366422356,0.386149204,0.356005838,0.335276516,0.265175565,0.312378175,0.294892354,0.207729585,0.20229563,0.3920717,0.281874701,0.218582969,0.168226406,0.097364855,0.245588236,0.281483334,0.312017974,0.367709502,0.258559863,0.334267644,0.066392941,0.38822352,0.370363356,0.30070371,0.307493001,0.291620198
MK,0.566074551,0.386544394,0.409949189,0.361678617,0.385750958,0.357990036,0.346281129,0.273192548,0.325776003,0.363687471,0.202981395,0.198932921,0.386194131,0.305868966,0.245947332,0.173891374,0.098969265,0.240730521,0.273850693,0.311233682,0.37678023,0.261823835,0.324661466,0.163354428,0.410174767,0.373713058,0.301448368,0.341291264,0.292019501
PLR,12.63073231,2.803963859,2.679753247,2.61453907,2.464369425,2.484185847,2.439180375,2.109508468,2.486711171,5.377608548,1.599108072,1.606405989,2.725124712,2.523518848,1.489315963,1.621775994,1.286687865,1.646729093,1.918431742,2.185662847,3.037365531,1.720055275,2.136661256,1.083094571,3.72390858,2.581848823,2.009031352,3.063330486,2.078343281
NLR,0.352325023,0.490079883,0.448308852,0.488776667,0.424573616,0.526904533,0.528616585,0.634020277,0.599407377,0.660246941,0.673467583,0.685912696,0.481913132,0.652734869,0.552914076,0.767757045,0.845010888,0.601955189,0.583799922,0.573408704,0.52662461,0.569249284,0.509368876,0.629678063,0.526439014,0.51274738,0.533428809,0.617839962,0.59451069
DOR,114.9284286,6.737446581,6.744054834,6.044070113,7.03041143,5.122225167,5.198544049,3.460571429,4.422541209,8.845833333,2.513266552,2.571733121,7.40957191,4.282448429,3.512577733,2.230689856,1.578572814,2.919829469,3.688816452,4.100465388,6.303988997,3.378501615,5.141972668,3.335534209,7.776150794,5.304920635,4.156861472,5.107834195,3.835524421
G,0.751937999,0.649159006,0.665689247,0.647451638,0.664387912,0.62449449,0.630566303,0.578032928,0.592848192,0.553921469,0.571509012,0.560043177,0.652503913,0.561807298,0.625274894,0.507395287,0.483571489,0.593399769,0.604597953,0.603108829,0.628088627,0.592069903,0.637167415,0.648890902,0.6335004,0.6341534,0.621429212,0.582362786,0.586270795
RACC,0.201315629,0.186976095,0.194101095,0.202660151,0.212802412,0.180369113,0.1995625,0.179629658,0.163655536,0.122730481,0.213746042,0.203177398,0.189584991,0.148942144,0.280843821,0.16846765,0.185273648,0.21917664,0.208250257,0.183596493,0.174598408,0.213750643,0.215347465,0.391794024,0.159655921,0.179415123,0.213616441,0.151989883,0.178684685
F0.5,0.751949269,0.659193121,0.669720107,0.642429987,0.647930312,0.64075783,0.639393248,0.596030402,0.62499759,0.626959541,0.559931262,0.555623522,0.65813935,0.608094942,0.568196726,0.533974848,0.491329031,0.575898548,0.596557049,0.616132367,0.651208092,0.577268657,0.619679432,0.516276112,0.67127274,0.652217258,0.607702067,0.628564774,0.600354131
F2,0.75068536,0.637331234,0.659717338,0.649357874,0.67565379,0.605713539,0.618835941,0.557391789,0.557628451,0.469143064,0.581238198,0.562518882,0.644479631,0.511295673,0.677499401,0.479091527,0.472136643,0.609287172,0.611219161,0.588146712,0.601529519,0.602047102,0.651987968,0.759201922,0.590991628,0.613774112,0.631138704,0.53063308,0.568899427
RACCU,0.202620557,0.188741624,0.195890062,0.205823497,0.218480858,0.182892024,0.202664063,0.182445418,0.166844713,0.131799214,0.215846024,0.205381099,0.19181884,0.153313406,0.289008989,0.170605016,0.190461822,0.221210576,0.209728738,0.185623287,0.177976668,0.21975477,0.218187431,0.437348015,0.164057523,0.181713006,0.218362323,0.15680248,0.182130046
J,0.636119544,0.482376262,0.499739415,0.476356524,0.488797959,0.453230838,0.459635605,0.402781688,0.417636365,0.366778834,0.398533452,0.387156221,0.48437385,0.388731387,0.452613177,0.33995873,0.315509067,0.421810798,0.434303313,0.430954511,0.455537451,0.41768144,0.468020408,0.447590279,0.458584859,0.461798906,0.445553911,0.402985934,0.412418301
IS,0.708466618,0.583630675,0.609546644,0.521770741,0.529905279,0.561705471,0.496832261,0.456022024,0.5562495,0.667481733,0.313096984,0.325603672,0.580799987,0.544300039,0.278482488,0.308184497,0.163531014,0.349949956,0.405988775,0.4963716,0.587767628,0.363392558,0.449777612,0.054870104,0.660117926,0.591368577,0.435621015,0.593359272,0.470880569
AUC,0.785944517,0.695527101,0.706473435,0.683211178,0.693074602,0.678002919,0.667638258,0.632587782,0.656189087,0.647446177,0.603864792,0.601147815,0.69603585,0.640937351,0.609291484,0.584113203,0.548682428,0.622794118,0.640741667,0.656008987,0.683854751,0.629279931,0.667133822,0.533196471,0.69411176,0.685181678,0.650351855,0.6537465,0.645810099
sInd,0.780714105,0.686233181,0.697382907,0.672471685,0.673022419,0.664079165,0.651227865,0.618922749,0.635811939,0.585865011,0.60064339,0.594004708,0.684911369,0.608617304,0.57199805,0.566978468,0.534797465,0.618923699,0.638786249,0.645992597,0.664437272,0.609663337,0.662189353,0.401030662,0.666124869,0.671641487,0.636451065,0.619391225,0.630805448
DP,0.788953558,0.416404655,0.435710106,0.392647916,0.435899077,0.374759377,0.359582117,0.278397463,0.336430179,0.417084109,0.206190358,0.20430266,0.424767078,0.315088826,0.257879501,0.17475204,0.098128014,0.244558702,0.283168397,0.321627121,0.403467684,0.275380743,0.346902214,0.194361105,0.447316214,0.390619671,0.319400618,0.360889307,0.3035367
Y,0.571889034,0.391054203,0.412946869,0.366422356,0.386149204,0.356005838,0.335276516,0.265175565,0.312378175,0.294892354,0.207729585,0.20229563,0.3920717,0.281874701,0.218582969,0.168226406,0.097364855,0.245588236,0.281483334,0.312017974,0.367709502,0.258559863,0.334267644,0.066392941,0.38822352,0.370363356,0.30070371,0.307493001,0.291620198
GI,0.571889034,0.391054203,0.412946869,0.366422356,0.386149204,0.356005838,0.335276516,0.265175565,0.312378175,0.294892354,0.207729585,0.20229563,0.3920717,0.281874701,0.218582969,0.168226406,0.097364855,0.245588236,0.281483334,0.312017974,0.367709502,0.258559863,0.334267644,0.066392941,0.38822352,0.370363356,0.30070371,0.307493001,0.291620198
LS,1.675294748,1.508872511,1.532816341,1.445444175,1.447404088,1.479288579,1.417275023,1.380141868,1.482058522,1.596249319,1.248430065,1.264129114,1.509871107,1.482878592,1.220155296,1.244699183,1.123372381,1.277058121,1.331296291,1.415921644,1.504493848,1.287013811,1.375616467,1.04035761,1.585218247,1.509776556,1.361817229,1.517101817,1.390185809
OP,0.72635873,0.588205924,0.621900707,0.579030216,0.554186848,0.54418274,0.525067112,0.503229039,0.486145051,0.337350886,0.544071596,0.489613039,0.581647166,0.407888399,0.333675575,0.390053478,0.342260968,0.536915098,0.583447501,0.544252043,0.534769791,0.452971121,0.587153455,-0.203425266,0.523232309,0.559608995,0.530852338,0.443588588,0.493089954
IBA,0.60455075,0.428547453,0.45936386,0.44117276,0.473012598,0.388295954,0.399655942,0.324937841,0.323965028,0.214898412,0.35494287,0.338684901,0.44291394,0.275195853,0.425787117,0.250206519,0.247496773,0.39184822,0.395581278,0.36704118,0.375156607,0.385330606,0.452386934,0.252019219,0.355147281,0.393343947,0.412983214,0.284988634,0.351050904
GM,0.783866215,0.690884319,0.700948218,0.678820027,0.684261001,0.669853507,0.658467764,0.625193027,0.644707607,0.610174852,0.601941651,0.596502473,0.69098816,0.619760349,0.584734016,0.571445756,0.53630792,0.620299771,0.639677284,0.649996395,0.674250497,0.616288812,0.664683007,0.376480428,0.680845047,0.678045851,0.643025057,0.63484772,0.635721069
Q,0.734696488,0.664969236,0.704174942,0.640135643,0.698734168,0.640210433,0.609250058,0.509284421,0.588339688,0.649500041,0.395490384,0.387297073,0.664468131,0.545677538,0.460876438,0.338453301,0.197354877,0.461318733,0.508416327,0.572295723,0.663870795,0.505795757,0.581128961,0.330500655,0.703695099,0.665816356,0.563302918,0.615979234,0.545468137
AGM,0.795502505,0.713145476,0.718712286,0.686930531,0.682835631,0.699615916,0.678138795,0.656048314,0.688594325,0.698004151,0.605836189,0.608792278,0.709166625,0.681794093,0.554569057,0.618546245,0.565076735,0.620405854,0.646777539,0.677063403,0.708673598,0.621688104,0.663089615,0.300074454,0.726634623,0.707717702,0.644197315,0.692790109,0.666205808
