,group1,group2,meandiff,p-adj,lower,upper,reject
0,Ada,BNB,4.6413,0.0001,1.3333,7.9493,True
1,Ada,Bagging,0.3209,1.0,-2.9871,3.6289,False
2,Ada,CSEL,-4.8976,0.0,-8.2056,-1.5896,True
3,Ada,DF,0.9459,1.0,-2.3621,4.2539,False
4,Ada,DT,2.218,0.7292,-1.09,5.526,False
5,Ada,ET,1.1648,1.0,-2.1432,4.4728,False
6,Ada,ETs,-0.3033,1.0,-3.6113,3.0047,False
7,Ada,GBC,2.2699,0.6856,-1.0381,5.5779,False
8,Ada,GNB,9.756,0.0,6.4481,13.064,True
9,Ada,GP,3.7811,0.0075,0.4731,7.0891,True
10,Ada,KNN,6.2998,0.0,2.9918,9.6078,True
11,Ada,LDA,-0.6462,1.0,-3.9541,2.6618,False
12,Ada,LR,-0.5116,1.0,-3.8196,2.7963,False
13,Ada,LinearSVC,-1.1815,0.9999,-4.4895,2.1265,False
14,Ada,NuSVC,0.5503,1.0,-2.7577,3.8583,False
15,Ada,PA,1.8549,0.9425,-1.453,5.1629,False
16,Ada,Perceptron,-0.0167,1.0,-3.3247,3.2913,False
17,Ada,QDA,19.6545,0.0,16.3465,22.9625,True
18,Ada,RF,2.56,0.4268,-0.748,5.868,False
19,Ada,Ridge,0.5952,1.0,-2.7128,3.9032,False
20,Ada,SGD,1.4769,0.9971,-1.8311,4.7849,False
21,Ada,SVC,2.8299,0.2268,-0.4781,6.1379,False
22,Ada,Stacking_ETs,0.7582,1.0,-2.5497,4.0662,False
23,Ada,Stacking_LR,0.5055,1.0,-2.8025,3.8135,False
24,Ada,Stacking_NuSCV,0.0308,1.0,-3.2772,3.3388,False
25,Ada,Stacking_RF,-0.7569,1.0,-4.0649,2.5511,False
26,Ada,Stacking_Ridge,0.0325,1.0,-3.2755,3.3405,False
27,Ada,XGB,0.1793,1.0,-3.1286,3.4873,False
28,BNB,Bagging,-4.3204,0.0006,-7.6284,-1.0124,True
29,BNB,CSEL,-9.5389,0.0,-12.8469,-6.2309,True
30,BNB,DF,-3.6954,0.0109,-7.0034,-0.3874,True
31,BNB,DT,-2.4233,0.5484,-5.7313,0.8847,False
32,BNB,ET,-3.4765,0.0265,-6.7845,-0.1685,True
33,BNB,ETs,-4.9446,0.0,-8.2526,-1.6366,True
34,BNB,GBC,-2.3714,0.5955,-5.6794,0.9366,False
35,BNB,GNB,5.1147,0.0,1.8067,8.4227,True
36,BNB,GP,-0.8602,1.0,-4.1682,2.4478,False
37,BNB,KNN,1.6585,0.9847,-1.6495,4.9665,False
38,BNB,LDA,-5.2875,0.0,-8.5955,-1.9795,True
39,BNB,LR,-5.153,0.0,-8.461,-1.845,True
40,BNB,LinearSVC,-5.8229,0.0,-9.1308,-2.5149,True
41,BNB,NuSVC,-4.091,0.0018,-7.399,-0.783,True
42,BNB,PA,-2.7864,0.2541,-6.0944,0.5216,False
43,BNB,Perceptron,-4.658,0.0001,-7.966,-1.35,True
44,BNB,QDA,15.0132,0.0,11.7052,18.3212,True
45,BNB,RF,-2.0813,0.8308,-5.3893,1.2267,False
46,BNB,Ridge,-4.0462,0.0023,-7.3541,-0.7382,True
