,group1,group2,meandiff,p-adj,lower,upper,reject
0,Ada,BNB,4.4891,0.1482,-0.4934,9.4716,False
1,Ada,Bagging,0.0,1.0,-4.9825,4.9825,False
2,Ada,CSEL,2.1577,0.9982,-2.8248,7.1403,False
3,Ada,DF,1.0913,1.0,-3.8913,6.0738,False
4,Ada,DT,1.9593,0.9996,-3.0232,6.9419,False
5,Ada,ET,1.9593,0.9996,-3.0232,6.9419,False
6,Ada,ETs,2.1577,0.9982,-2.8248,7.1403,False
7,Ada,GBC,0.1736,1.0,-4.8089,5.1561,False
8,Ada,GNB,-0.2232,1.0,-5.2057,4.7593,False
9,Ada,GP,0.0,1.0,-4.9825,4.9825,False
10,Ada,KNN,-0.0248,1.0,-5.0073,4.9577,False
11,Ada,LDA,1.7361,1.0,-3.2464,6.7186,False
12,Ada,LR,0.0,1.0,-4.9825,4.9825,False
13,Ada,LinearSVC,3.0258,0.8748,-1.9567,8.0083,False
14,Ada,NuSVC,0.0,1.0,-4.9825,4.9825,False
15,Ada,PA,-1.2649,1.0,-6.2474,3.7177,False
16,Ada,Perceptron,-1.4881,1.0,-6.4706,3.4944,False
17,Ada,QDA,23.2639,0.0,18.2814,28.2464,True
18,Ada,RF,1.0665,1.0,-3.9161,6.049,False
19,Ada,Ridge,0.0,1.0,-4.9825,4.9825,False
20,Ada,SGD,-1.2649,1.0,-6.2474,3.7177,False
21,Ada,SVC,2.3313,0.9941,-2.6512,7.3139,False
22,Ada,Stacking_ETs,-0.4216,1.0,-5.4042,4.5609,False
23,Ada,Stacking_LR,-1.0913,1.0,-6.0738,3.8913,False
24,Ada,Stacking_NuSCV,2.1577,0.9982,-2.8248,7.1403,False
25,Ada,Stacking_RF,0.8681,1.0,-4.1145,5.8506,False
26,Ada,Stacking_Ridge,1.0913,1.0,-3.8913,6.0738,False
27,Ada,XGB,0.0,1.0,-4.9825,4.9825,False
28,BNB,Bagging,-4.4891,0.1482,-9.4716,0.4934,False
29,BNB,CSEL,-2.3313,0.9941,-7.3139,2.6512,False
30,BNB,DF,-3.3978,0.6976,-8.3804,1.5847,False
31,BNB,DT,-2.5298,0.982,-7.5123,2.4528,False
32,BNB,ET,-2.5298,0.982,-7.5123,2.4528,False
33,BNB,ETs,-2.3313,0.9941,-7.3139,2.6512,False
34,BNB,GBC,-4.3155,0.2062,-9.298,0.6671,False
35,BNB,GNB,-4.7123,0.093,-9.6948,0.2702,False
36,BNB,GP,-4.4891,0.1482,-9.4716,0.4934,False
37,BNB,KNN,-4.5139,0.141,-9.4964,0.4686,False
38,BNB,LDA,-2.753,0.9509,-7.7355,2.2296,False
39,BNB,LR,-4.4891,0.1482,-9.4716,0.4934,False
40,BNB,LinearSVC,-1.4633,1.0,-6.4458,3.5192,False
41,BNB,NuSVC,-4.4891,0.1482,-9.4716,0.4934,False
42,BNB,PA,-5.754,0.0064,-10.7365,-0.7714,True
43,BNB,Perceptron,-5.9772,0.0033,-10.9597,-0.9946,True
44,BNB,QDA,18.7748,0.0,13.7923,23.7573,True
45,BNB,RF,-3.4226,0.6835,-8.4052,1.5599,False
46,BNB,Ridge,-4.4891,0.1482,-9.4716,0.4934,False
47,BNB,SGD,-5.754,0.0064,-10.7365,-0.7714,True
