,0
Overall ACC,0.6639197530864198
Overall RACCU,0.5198931303345526
Overall RACC,0.5135147748056699
Kappa,0.31073647525417963
Gwet AC1,0.3514572141187485
Bennett S,0.3278395061728395
Kappa Standard Error,0.10757902421736572
Kappa Unbiased,0.3014957646572299
Scott PI,0.3014957646572299
Kappa No Prevalence,0.3278395061728395
Kappa 95% CI,0.5215913627202164
Standard Error,0.0523239587289908
95% CI,0.7664747121952418
Chi-Squared,8.921516237892606
Phi-Squared,0.11073631648993829
Cramer V,0.31884351730744837
Response Entropy,0.9456612794294633
Reference Entropy,0.9774196992990019
Cross Entropy,1.0159946746868527
Joint Entropy,1.8420284986369169
Conditional Entropy,0.8646087993379148
Mutual Information,0.08105248009154842
KL Divergence,0.03857497538785081
Lambda B,0.11279199110122358
Lambda A,0.22012863065494645
Chi-Squared DF,1.0
Overall J,0.48789925279004365
Hamming Loss,0.33608024691358024
Zero-one Loss,27.0
NIR,0.5668518518518518
P-Value,0.10756266217786666
Overall CEN,0.8224369248880772
Overall MCEN,0.6334009454138714
Overall MCC,0.3188435173074484
RR,40.2
CBA,0.5916086437061399
AUNU,0.6561890872536228
AUNP,0.6561890872536228
RCI,0.08346236739665043
Pearson C,0.3006168653064016
TPR Micro,0.6639197530864198
TPR Macro,0.6561890872536228
CSI,0.3190770887354587
ARI,0.10686026686729799
TNR Micro,0.6639197530864198
TNR Macro,0.6561890872536228
Bangdiwala B,0.46891714670639073
Krippendorff Alpha,0.30584259821077814
FPR Macro,0.34381091274637715
FNR Macro,0.34381091274637715
PPV Macro,0.6628880014818359
ACC Macro,0.6639197530864198
F1 Macro,0.6507478823286149
FPR Micro,0.33608024691358024
FNR Micro,0.33608024691358024
PPV Micro,0.6639197530864198
F1 Micro,0.6639197530864198
TPR,0.5410243729705174
TNR,0.7713538015367284
PPV,0.6554827300989704
NPV,0.6702932728647015
FNR,0.4589756270294826
FPR,0.22864619846327167
FDR,0.34451726990102965
FOR,0.3297067271352986
ACC,0.6639197530864198
F1,0.5875210386222622
MCC,0.3188435173074484
BM,0.3123781745072457
MK,0.32577600296367176
PLR,2.486711170646299
NLR,0.5994073772030031
DOR,4.422541208791208
TP,19.2
TN,34.2
FP,10.2
FN,16.8
POP,80.4
P,36.0
N,44.4
TOP,29.4
TON,51.0
PRE,0.4481481481481481
G,0.5928481919324919
RACC,0.16365553555098306
F0.5,0.6249975898506139
F2,0.5576284511708887
ERR,0.33608024691358024
RACCU,0.1668447133154245
J,0.417636365256601
IS,0.5562494998278378
CEN,0.9030714422184316
MCEN,0.9880189930261171
AUC,0.6561890872536228
sInd,0.6358119394498044
dInd,0.5150396944844406
DP,0.336430178987787
Y,0.3123781745072457
GI,0.3123781745072457
LS,1.4820585216185302
AM,-6.6
BCD,0.05112654320987654
OP,0.4861450506126106
IBA,0.3239650283413604
GM,0.6447076069559738
Q,0.5883396880154371
AGM,0.6885943252914346
AGF,0.6184182432940577
OC,0.6717312366700575
OOC,0.5928481919324919
AUPR,0.5982535515347439
ICSI,0.19650710306948774
HD,27.0
BB,0.5247758663994302
