,0
Overall ACC,0.6019135802469137
Overall RACCU,0.5059513079180002
Overall RACC,0.5017513431641518
Kappa,0.2012983541442548
Gwet AC1,0.21269485605631297
Bennett S,0.20382716049382715
Kappa Standard Error,0.10907336755380063
Kappa Unbiased,0.1946004760075408
Scott PI,0.1946004760075408
Kappa No Prevalence,0.20382716049382715
Kappa 95% CI,0.415082154549704
Standard Error,0.054346276916058714
95% CI,0.7084322830023886
Chi-Squared,4.052880545242876
Phi-Squared,0.05037785664794494
Cramer V,0.20526098882913754
Response Entropy,0.9929089699720481
Reference Entropy,0.9774196992990019
Cross Entropy,1.0020887109748522
Joint Entropy,1.9335816993380242
Conditional Entropy,0.9561620000390224
Mutual Information,0.03674696993302573
KL Divergence,0.024669011675850356
Lambda B,0.14274168399168402
Lambda A,0.1073017073017073
Chi-Squared DF,1.0
Overall J,0.42853643151708704
Hamming Loss,0.3980864197530864
Zero-one Loss,32.0
NIR,0.5668518518518518
P-Value,0.38182545661889744
Overall CEN,0.9041526340916185
Overall MCEN,0.7019308290301088
Overall MCC,0.20526098882913754
RR,40.2
CBA,0.5568389321189946
AUNU,0.6038647923508881
AUNP,0.6038647923508881
RCI,0.03768893789821653
Pearson C,0.19921042208297093
TPR Micro,0.6019135802469137
TPR Macro,0.6038647923508881
CSI,0.20535549004585413
ARI,0.03831873832247989
TNR Micro,0.6019135802469137
TNR Macro,0.6038647923508881
Bangdiwala B,0.37483527088694873
Krippendorff Alpha,0.19961006142520504
FPR Macro,0.39613520764911186
FNR Macro,0.39613520764911186
PPV Macro,0.6014906976949661
ACC Macro,0.6019135802469137
F1 Macro,0.5973002380037704
FPR Micro,0.3980864197530864
FNR Micro,0.3980864197530864
PPV Micro,0.6019135802469137
F1 Micro,0.6019135802469137
TPR,0.5930823154813363
TNR,0.61464726922044
PPV,0.5564312788398154
NPV,0.6465501165501165
FNR,0.4069176845186638
FPR,0.38535273077956006
FDR,0.4435687211601846
FOR,0.3534498834498835
ACC,0.6019135802469137
F1,0.5683151777380591
MCC,0.20526098882913754
BM,0.20772958470177624
MK,0.20298139538993198
PLR,1.5991080724613984
NLR,0.6734675832629726
DOR,2.5132665519334316
TP,21.2
TN,27.2
FP,17.2
FN,14.8
POP,80.4
P,36.0
N,44.4
TOP,38.4
TON,42.0
PRE,0.4481481481481481
G,0.571509011761307
RACC,0.21374604195244626
F0.5,0.5599312618582025
F2,0.5812381984388265
ERR,0.3980864197530864
RACCU,0.2158460243293705
J,0.3985334522747547
IS,0.31309698371550965
CEN,0.9323201914817526
MCEN,1.0142535879980943
AUC,0.6038647923508881
sInd,0.600643389565324
dInd,0.5647755347000675
DP,0.20619035795929191
Y,0.20772958470177624
GI,0.20772958470177624
LS,1.2484300653062035
AM,2.4
BCD,0.03722222222222222
OP,0.5440715962763311
IBA,0.3549428698075568
GM,0.6019416508968213
Q,0.39549038403920445
AGM,0.6058361893112233
AGF,0.6079328882068318
OC,0.6227659295133621
OOC,0.571509011761307
AUPR,0.5747567971605758
ICSI,0.1495135943211517
HD,32.0
BB,0.5267476648077896
