,0
Overall ACC,0.5970061728395062
Overall RACCU,0.5198211424516079
Overall RACC,0.5155464106081391
Kappa,0.1672579754303436
Gwet AC1,0.2232404627483496
Bennett S,0.19401234567901232
Kappa Standard Error,0.11267727409918082
Kappa Unbiased,0.16041628135798042
Scott PI,0.16041628135798042
Kappa No Prevalence,0.19401234567901232
Kappa 95% CI,0.388105432664738
Standard Error,0.05449556255033059
95% CI,0.7038174754381541
Chi-Squared,3.0058120625218177
Phi-Squared,0.037461084769460605
Cramer V,0.17101830223911765
Response Entropy,0.9521365553410813
Reference Entropy,0.9774196992990019
Cross Entropy,1.0027687975332955
Joint Entropy,1.9022864893386164
Conditional Entropy,0.9248667900396145
Mutual Information,0.027269765301466874
KL Divergence,0.025349098234293738
Lambda B,0.012903225806451613
Lambda A,0.08925484188642083
Chi-Squared DF,1.0
Overall J,0.4148544915251021
Hamming Loss,0.4029938271604938
Zero-one Loss,32.4
NIR,0.5668518518518518
P-Value,0.4134795310033416
Overall CEN,0.9005251530207785
Overall MCEN,0.7017379447623767
Overall MCC,0.17101830223911768
RR,40.2
CBA,0.5376026874759171
AUNU,0.5841132032373039
AUNP,0.5841132032373039
RCI,0.027848445757036166
Pearson C,0.1666973605174163
TPR Micro,0.5970061728395062
TPR Macro,0.5841132032373039
CSI,0.17105889002026115
ARI,0.031021851830846953
TNR Micro,0.5970061728395062
TNR Macro,0.5841132032373039
Bangdiwala B,0.3848045645641437
Krippendorff Alpha,0.16563684401421608
FPR Macro,0.41588679676269613
FNR Macro,0.41588679676269613
PPV Macro,0.5869456867829573
ACC Macro,0.5970061728395062
F1 Macro,0.5802081406789903
FPR Micro,0.4029938271604938
FNR Micro,0.4029938271604938
PPV Micro,0.5970061728395062
F1 Micro,0.5970061728395062
TPR,0.464184385359416
TNR,0.7040420211151918
PPV,0.5567058636580328
NPV,0.6171855099078819
FNR,0.535815614640584
FPR,0.2959579788848082
FDR,0.44329413634196724
FOR,0.38281449009211815
ACC,0.5970061728395062
F1,0.5043746786804291
MCC,0.17101830223911768
BM,0.1682264064746078
MK,0.1738913735659146
PLR,1.6217759936242189
NLR,0.7677570450765066
DOR,2.2306898559530137
TP,16.8
TN,31.2
FP,13.2
FN,19.2
POP,80.4
P,36.0
N,44.4
TOP,30.0
TON,50.4
PRE,0.4481481481481481
G,0.5073952867020621
RACC,0.16846764974851394
F0.5,0.5339748475517068
F2,0.47909152679230277
ERR,0.4029938271604938
RACCU,0.17060501567024847
J,0.3399587295005085
IS,0.308184496672505
CEN,0.9729002451015983
MCEN,1.0265914269933731
AUC,0.5841132032373039
sInd,0.5669784683030253
dInd,0.6123849229254326
DP,0.17475204009415435
Y,0.1682264064746078
GI,0.1682264064746078
LS,1.2446991832710086
AM,-6.0
BCD,0.039922839506172834
OP,0.39005347811714824
IBA,0.2502065191888012
GM,0.5714457562744906
Q,0.338453301224827
AGM,0.6185462453870099
AGF,0.5489162348764407
OC,0.5601450170971861
OOC,0.5073952867020621
AUPR,0.5104451245087243
ICSI,0.02089024901744867
HD,32.4
BB,0.46074523192026257
