,0
Overall ACC,0.6393827160493828
Overall RACCU,0.5061241426611796
Overall RACC,0.5031671810699588
Kappa,0.27376383786015224
Gwet AC1,0.2875481644632477
Bennett S,0.2787654320987654
Kappa Standard Error,0.10707889943126525
Kappa Unbiased,0.2694965115836896
Scott PI,0.2694965115836896
Kappa No Prevalence,0.2787654320987654
Kappa 95% CI,0.4836384807454321
Standard Error,0.05319114973163873
95% CI,0.7436373695233947
Chi-Squared,7.156987214313645
Phi-Squared,0.08914406470439509
Cramer V,0.27755803009679036
Response Entropy,0.996031885004941
Reference Entropy,0.9774196992990019
Cross Entropy,0.9948156023378601
Joint Entropy,1.9075119679123815
Conditional Entropy,0.9300922686133793
Mutual Information,0.06593961639156154
KL Divergence,0.017395903038858167
Lambda B,0.22385928438560015
Lambda A,0.15688076740708318
Chi-Squared DF,1.0
Overall J,0.46862100954652847
Hamming Loss,0.3606172839506173
Zero-one Loss,29.0
NIR,0.5668518518518518
P-Value,0.28691517903667063
Overall CEN,0.869598031390683
Overall MCEN,0.6733363284524937
Overall MCC,0.2775580300967904
RR,40.2
CBA,0.6012219041441809
AUNU,0.6407416671750046
AUNP,0.6407416671750046
RCI,0.06741578165567301
Pearson C,0.26325681739740425
TPR Micro,0.6393827160493828
TPR Macro,0.6407416671750046
CSI,0.2776670137086742
ARI,0.07759767902547884
TNR Micro,0.6393827160493828
TNR Macro,0.6407416671750046
Bangdiwala B,0.42134048215408704
Krippendorff Alpha,0.2740382539315052
FPR Macro,0.3592583328249955
FNR Macro,0.3592583328249955
PPV Macro,0.6369253465336697
ACC Macro,0.6393827160493828
F1 Macro,0.6347482557918448
FPR Micro,0.36061728395061726
FNR Micro,0.36061728395061726
PPV Micro,0.6393827160493828
F1 Micro,0.6393827160493828
TPR,0.6197497366408016
TNR,0.6617335977092075
PPV,0.5944486997118577
NPV,0.6794019933554818
FNR,0.3802502633591985
FPR,0.3382664022907925
FDR,0.40555130028814235
FOR,0.3205980066445183
ACC,0.6393827160493828
F1,0.6021309201858401
MCC,0.2775580300967904
BM,0.28148333435000905
MK,0.27385069306733933
PLR,1.918431741776835
NLR,0.5837999215103955
DOR,3.6888164517143758
TP,22.2
TN,29.2
FP,15.2
FN,13.8
POP,80.4
P,36.0
N,44.4
TOP,37.4
TON,43.0
PRE,0.4481481481481481
G,0.6045979530211831
RACC,0.2082502572016461
F0.5,0.5965570488439625
F2,0.6112191605451959
ERR,0.36061728395061726
RACCU,0.2097287379972565
J,0.4343033134164906
IS,0.4059887749729313
CEN,0.9031446817214572
MCEN,1.0027168027780071
AUC,0.6407416671750046
sInd,0.6387862493599348
dInd,0.5108333850708334
DP,0.2831683970831634
Y,0.28148333435000905
GI,0.28148333435000905
LS,1.3312962908466357
AM,1.4
BCD,0.02851851851851852
OP,0.5834475009870962
IBA,0.3955812783831172
GM,0.6396772835391935
Q,0.5084163266817613
AGM,0.6467775392559653
AGF,0.6412297354363377
OC,0.64684445210761
OOC,0.6045979530211831
AUPR,0.6070992181763295
ICSI,0.21419843635265914
HD,29.0
BB,0.5673539842450491
