,0
CSEL,8.021038790269559
Stacking_NuSCV,20.775805391190005
Stacking_Ridge,20.052596975673897
Stacking_RF,21.23602892833662
Stacking_ETs,21.893491124260358
Stacking_LR,22.419460880999342
DF,24.45759368836292
Ada,30.17751479289941
Bagging,27.613412228796847
BNB,30.473372781065088
DT,33.85930309007232
ET,34.18803418803419
ETs,20.775805391190005
GBC,29.224194608809995
GNB,36.22616699539776
GP,35.76594345825115
KNN,40.56541748849441
LDA,30.76923076923077
LinearSVC,29.78303747534517
LR,27.87639710716634
NuSVC,22.616699539776462
PA,30.703484549638393
Perceptron,27.087442472057855
QDA,45.69362261669954
RF,23.471400394477318
Ridge,22.419460880999342
SGD,29.322813938198557
SVC,28.56673241288626
XGB,28.66535174227482
