,similarity=100%(6610),similarity¡Ý95%(6936),similarity¡Ý90%(7432),similarity¡Ý85%(7864),similarity¡Ý80%(8842),similarity¡Ý95%(9328)
Overall ACC,0.748260212,0.735810415,0.736813778,0.738555443,0.706853653,0.706903945
Overall RACCU,0.568354874,0.565912753,0.557212266,0.557896887,0.543833714,0.540903887
Overall RACC,0.565954395,0.56452609,0.555362846,0.555451158,0.542651201,0.539975252
Kappa,0.420015351,0.393328559,0.408087652,0.41188789,0.359031121,0.362868941
Gwet AC1,0.557072879,0.533161988,0.527673316,0.531374769,0.46096327,0.458136534
Bennett S,0.496520424,0.471620831,0.473627557,0.477110885,0.413707306,0.41380789
Kappa Standard Error,0.012298897,0.012245532,0.011488196,0.011146541,0.010584838,0.010244947
Kappa Unbiased,0.41678992,0.391390587,0.405615374,0.408634434,0.357369547,0.361580186
Scott PI,0.41678992,0.391390587,0.405615374,0.408634434,0.357369547,0.361580186
Kappa No Prevalence,0.496520424,0.471620831,0.473627557,0.477110885,0.413707306,0.41380789
Kappa 95% CI,0.444121189,0.417329801,0.430604516,0.433735111,0.379777403,0.382949037
Standard Error,0.005338282,0.00533261,0.005108079,0.004955182,0.004840963,0.004712929
95% CI,0.758723245,0.74626233,0.746825613,0.748267599,0.71634194,0.716141286
Chi-Squared,1196.582215,1073.275438,1261.289724,1368.000347,1152.797873,1239.128839
Phi-Squared,0.181026054,0.157003429,0.169710673,0.173957318,0.130377502,0.132839713
Cramer V,0.425471566,0.396236582,0.411959553,0.417081908,0.361078249,0.364471827
Response Entropy,0.856109613,0.87145671,0.881849402,0.874952092,0.912497814,0.920389768
Reference Entropy,0.933865225,0.929330925,0.943736912,0.946617202,0.955366691,0.957002721
Cross Entropy,0.950280751,0.93869996,0.956001906,0.962913251,0.962934408,0.962896865
Joint Entropy,1.662327006,1.690311353,1.704953612,1.69777505,1.77462004,1.782178771
Conditional Entropy,0.72846178,0.760980428,0.7612167,0.751157848,0.819253349,0.82517605
Mutual Information,0.127647833,0.110476281,0.120632702,0.123794245,0.093244465,0.095213718
