NP1,NP2,NP3,NP4,NP5,NP6.1,NP6.2
Clostridium ramosum,Clostridium ramosum,Clostridium ramosum,Dialister propionicifaciens,RESISTANT Chlamydia trachomatis,Porphyromonas asaccharolytica,RESISTANT Stenotrophomonas maltophilia
RESISTANT Staphylococcus aureus subsp. aureus RN4220,RESISTANT Acinetobacter pittii,RESISTANT Staphylococcus aureus subsp. aureus RN4220,Actinomyces meyeri,RESISTANT Helicobacter pylori,Prevotella oralis,Bacillus subtilis subsp. subtilis str. 168
Actinomyces meyeri,Mycobacterium mageritense,RESISTANT Chlamydia trachomatis,Dialister invisus,Actinomyces meyeri,Actinomyces meyeri,Lactobacillus plantarum
Clostridium cadaveris,RESISTANT Chlamydia trachomatis,Mycobacterium mageritense,Porphyromonas asaccharolytica,Porphyromonas asaccharolytica,Dialister invisus,Dialister invisus
RESISTANT Mycobacterium ulcerans,Actinomyces meyeri,RESISTANT Mycobacterium ulcerans,Prevotella oralis,Prevotella oralis,RESISTANT Chlamydia trachomatis,Actinomyces meyeri
RESISTANT Chlamydia trachomatis,RESISTANT Mycobacterium ulcerans,Dialister pneumosintes,Clostridium ramosum,Dialister invisus,RESISTANT Acinetobacter pittii,Peptostreptococcus micros
Mycobacterium mageritense,Clostridium cadaveris,Dialister micraerophilus,RESISTANT Staphylococcus simulans,Dialister micraerophilus,Streptococcus viridans,Fusobacterium varium
Staphylococcus aureus,RESISTANT Staphylococcus aureus subsp. aureus RN4220,RESISTANT Acinetobacter pittii,RESISTANT Aeromonas punctata,Dialister pneumosintes,Dialister pneumosintes,Prevotella corporis
RESISTANT Acinetobacter pittii,Streptococcus oralis,Actinomyces meyeri,Staphylococcus sciuri,Clostridium cadaveris,Dialister micraerophilus,Lactobacillus fermentum
Lactobacillus plantarum,Staphylococcus lugdunensis,Dialister propionicifaciens,Dialister micraerophilus,Bacteroides caccae,Mycobacterium bovis BCG,Eggerthella lenta
Dialister pneumosintes,Dialister micraerophilus,Clostridium cadaveris,Dialister pneumosintes,Bacteroides uniformis,Fusobacterium varium,Prevotella oralis
Dialister micraerophilus,Dialister pneumosintes,Yersinia pestis,Bacteroides stercoris,Dialister propionicifaciens,Bacteroides ovatus,RESISTANT Klebsiella oxytoca
Clostridium sordellii,Lactobacillus plantarum,RESISTANT Propionibacterium acnes,Clostridium cadaveris,Bacteroides ovatus,Prevotella bivia,RESISTANT Acinetobacter pittii
RESISTANT Propionibacterium acnes,RESISTANT Mycobacterium bovis,Lactobacillus plantarum,Bacteroides uniformis,Shigella sp.,Nocardia transvalensis,Streptococcus constellatus
Dialister propionicifaciens,RESISTANT Propionibacterium acnes,RESISTANT Mycobacterium bovis,RESISTANT Helicobacter pylori,Actinomyces israelii,Staphylococcus sp.,Clostridium ramosum
Nocardia transvalensis,Legionella pneumophila,Staphylococcus lugdunensis,Shigella sp.,Bacteroides distasonis,Eggerthella lenta,Clostridium cadaveris
Lactobacillus fermentum,RESISTANT Staphylococcus simulans,Clostridium sordellii,Prevotella bivia,RESISTANT Prevotella intermedia,Peptostreptococcus micros,Bacteroides stercoris
Lactococcus lactis,Staphylococcus aureus,Streptococcus oralis,Clostridium innocuum,Prevotella bivia,Corynebacterium jeikeium,RESISTANT Fusobacterium nucleatum
