,Overall ACC,Overall RACCU,Overall RACC,Kappa,Gwet AC1,Bennett S,Kappa Standard Error,Kappa Unbiased,Scott PI,Kappa No Prevalence,Kappa 95% CI,Standard Error,95% CI,Chi-Squared,Phi-Squared,Cramer V,Response Entropy,Reference Entropy,Cross Entropy,Joint Entropy,Conditional Entropy,Mutual Information,KL Divergence,Lambda B,Lambda A,Chi-Squared DF,Overall J,Hamming Loss,Zero-one Loss,NIR,P-Value,Overall CEN,Overall MCEN,Overall MCC,RR,CBA,AUNU,AUNP,RCI,Pearson C,TPR Micro,TPR Macro,CSI,ARI,TNR Micro,TNR Macro,Bangdiwala B,Krippendorff Alpha,FPR Macro,FNR Macro,PPV Macro,ACC Macro,F1 Macro,FPR Micro,FNR Micro,PPV Micro,F1 Micro,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,BM,MK,PLR,NLR,DOR,TP,TN,FP,FN,POP,P,N,TOP,TON,PRE,G,RACC,F0.5,F2,ERR,RACCU,J,IS,CEN,MCEN,AUC,sInd,dInd,DP,Y,GI,LS,AM,BCD,OP,IBA,GM,Q,AGM,AGF,OC,OOC,AUPR,ICSI,HD,BB
0,0.871797619,0.504451899,0.504170115,0.741218335,0.746138455,0.743595238,0.042057914,0.740990963,0.740990963,0.743595238,0.823651845,0.020848102,0.912659899,130.4977575,0.581049815,0.741913435,0.990594293,0.995713056,0.997363701,1.498915818,0.503202763,0.487391531,0.001650645,0.707306266,0.724029966,1,0.780856949,0.128202381,28.8,0.536047619,3.30E-08,0.467736082,0.370814346,0.741913435,112.3,0.854679063,0.869888924,0.869888924,0.489656211,0.583876127,0.871797619,0.869888924,0.741921687,0.581043529,0.871797619,0.869888924,0.770170494,0.741567449,0.130111076,0.130111076,0.872032763,0.871797619,0.870495481,0.128202381,0.128202381,0.871797619,0.871797619,0.896879219,0.842898629,0.869876169,0.874189356,0.103120781,0.157101371,0.130123831,0.125810644,0.871797619,0.882999029,0.741913435,0.739777848,0.744065525,9.013617242,0.137046061,136.9447158,108,87.8,16.4,12.4,224.6,120.4,104.2,124.4,100.2,0.536047619,0.883188318,0.297043391,0.87503863,0.891231907,0.128202381,0.297184283,0.798501148,0.691470174,0.444391462,0.61971502,0.869888924,0.866657568,0.188574676,1.012284832,0.739777848,0.739777848,1.623283981,4,0.009799603,0.837930603,0.798867227,0.869115241,0.924744048,0.860798141,0.879232772,0.898414703,0.883188318,0.883377694,0.766755388,28.8,0.868340686
1,0.839,0.504827849,0.504434586,0.673823098,0.682475403,0.678,0.045676938,0.673366871,0.673366871,0.678,0.763349897,0.022596729,0.883289589,112.2263455,0.500144853,0.674524101,0.989145287,0.995734403,0.998056091,1.565980936,0.570246534,0.418898753,0.002321688,0.622849868,0.648123543,1,0.734041495,0.161,36.2,0.536055556,1.22E-07,0.531657382,0.418431963,0.674524101,112.3,0.821585435,0.836226375,0.836226375,0.420163182,0.541239364,0.839,0.836226375,0.674535508,0.501063125,0.839,0.836226375,0.719109549,0.674093221,0.163773625,0.163773625,0.838309133,0.839,0.836683436,0.161,0.161,0.839,0.839,0.868687996,0.803764754,0.842812518,0.833805747,0.131312004,0.196235246,0.157187482,0.166194253,0.839,0.855283913,0.674524101,0.67245275,0.676618265,8.33590303,0.18653613,122.2692545,104.4,84,20.2,16,224.6,120.4,104.2,124.6,100,0.536055556,0.855516958,0.29761015,0.847696845,0.863206282,0.161,0.297806782,0.757761163,0.642642178,0.505236508,0.679136257,0.836226375,0.832591195,0.236751802,0.901619239,0.67245275,0.67245275,1.576098537,4.2,0.010230159,0.794247354,0.74475031,0.834860227,0.877828475,0.825104032,0.844859134,0.870297454,0.855516958,0.855750257,0.711500515,36.2,0.841203061
2,0.822035714,0.505181014,0.504303535,0.640768054,0.648030121,0.644071429,0.048839164,0.640007225,0.640007225,0.644071429,0.736492816,0.024202766,0.869473136,100.9771463,0.449892155,0.64281946,0.988013693,0.994442604,0.999584988,1.614118119,0.619675515,0.368338178,0.005142384,0.586823763,0.616640913,1,0.70633559,0.177964286,40,0.536095238,4.44E-08,0.575672898,0.450264838,0.64281946,112.3,0.794285321,0.820428075,0.820428075,0.370703074,0.5257815,0.822035714,0.820428075,0.642838691,0.448223806,0.822035714,0.820428075,0.689294877,0.640808051,0.179571925,0.179571925,0.822410616,0.822035714,0.820003613,0.177964286,0.177964286,0.822035714,0.822035714,0.857801316,0.783054833,0.821788162,0.823033071,0.142198684,0.216945167,0.178211838,0.176966929,0.822035714,0.838611926,0.64281946,0.640856149,0.644821233,5.565798184,0.201340567,62.24627984,103.2,81.4,22.8,17.2,224.6,120.4,104.2,126,98.6,0.536095238,0.8392029,0.300681529,0.828255923,0.849817959,0.177964286,0.301120269,0.730903098,0.607581525,0.547259097,0.725964695,0.820428075,0.814098702,0.262904137,0.821081558,0.640856149,0.640856149,1.533784851,5.6,0.01689881,0.769731346,0.723928048,0.818761522,0.869015851,0.807204629,0.831564941,0.864939778,0.8392029,0.839794739,0.679589478,40,0.8146497
3,0.862761905,0.504874147,0.504468886,0.723410689,0.72790336,0.72552381,0.044884186,0.723087056,0.723087056,0.72552381,0.811383695,0.022250276,0.906372445,121.5894881,0.541081363,0.724408279,0.989684546,0.995042506,0.997406865,1.542828392,0.547785887,0.441898659,0.00236436,0.689075835,0.70701207,1,0.762224535,0.137238095,30.8,0.536055556,5.56E-13,0.507112209,0.400294137,0.724408279,112.3,0.842864807,0.860941788,0.860941788,0.444353301,0.580199078,0.862761905,0.860941788,0.724417395,0.540875786,0.862761905,0.860941788,0.751232055,0.723703989,0.139058212,0.139058212,0.863475606,0.862761905,0.861543528,0.137238095,0.137238095,0.862761905,0.862761905,0.890886725,0.830996852,0.857958159,0.868993054,0.109113275,0.169003148,0.142041841,0.131006946,0.862761905,0.873860694,0.724408279,0.721883577,0.726951213,6.214017553,0.139012901,64.26908832,107.4,86.4,17.8,13,224.6,120.4,104.2,125.2,99.4,0.536055556,0.874141459,0.298984443,0.864192311,0.883933134,0.137238095,0.299187073,0.780870867,0.674329204,0.481197146,0.669838491,0.860941788,0.857112773,0.202073055,0.926684632,0.721883577,0.721883577,1.599539584,4.8,0.011583333,0.826590201,0.786121374,0.860206672,0.933580961,0.850878126,0.872319364,0.892334344,0.874141459,0.874422442,0.748844884,30.8,0.85651054
4,0.894924603,0.506132741,0.505907255,0.787396858,0.792272222,0.789849206,0.041371492,0.787300259,0.787300259,0.789849206,0.868484982,0.020441705,0.934990344,139.5617561,0.621372218,0.788114119,0.989453093,0.992118586,0.993427624,1.47134668,0.479228093,0.510224999,0.001309037,0.763823062,0.770533249,1,0.808035833,0.105075397,23.6,0.540571429,1.78E-16,0.442136223,0.352453696,0.788114119,112.3,0.876464566,0.893342377,0.893342377,0.514376398,0.618898448,0.894924603,0.893342377,0.788117681,0.62237476,0.894924603,0.893342377,0.803616742,0.787773778,0.106657623,0.106657623,0.894775304,0.894924603,0.89365013,0.105075397,0.105075397,0.894924603,0.894924603,0.918757136,0.867927618,0.888335433,0.901215176,0.081242864,0.132072382,0.111664567,0.098784824,0.894924603,0.903179243,0.788114119,0.786684754,0.789550609,7.032695761,0.093678769,76.06137422,110.6,90.4,13.8,9.8,224.6,120.4,104.2,124.4,100.2,0.536126984,0.903362737,0.297975453,0.894188123,0.912434536,0.105075397,0.298088196,0.823605779,0.731707684,0.419230532,0.611359136,0.893342377,0.890247784,0.155213072,1.033567163,0.786684754,0.786684754,1.662850796,4,0.009787698,0.866430206,0.837861807,0.892959934,0.973275686,0.884978374,0.903279585,0.920137452,0.903362737,0.903546284,0.807092569,23.6,0.886955116
5,0.861111111,0.506809039,0.506352314,0.715236434,0.728728458,0.722222222,0.044437538,0.715028603,0.715028603,0.722222222,0.802334008,0.021841333,0.903920123,122.6126476,0.545949929,0.716668324,0.988231273,0.990650378,0.993305008,1.522916624,0.532266247,0.455965026,0.002654631,0.67137767,0.684573284,1,0.761457777,0.138888889,31.2,0.536896825,4.46E-04,0.493060547,0.389184694,0.716668324,112.3,0.833127415,0.858012479,0.858012479,0.458369989,0.569649124,0.861111111,0.858012479,0.716675887,0.546955446,0.861111111,0.858012479,0.754761028,0.715662867,0.141987521,0.141987521,0.858663408,0.861111111,0.857514302,0.138888889,0.138888889,0.861111111,0.861111111,0.889604309,0.82642065,0.863507381,0.853819434,0.110395691,0.17357935,0.136492619,0.146180566,0.861111111,0.875829691,0.716668324,0.716024959,0.717326815,10.28882408,0.150179483,119.6081438,106.6,86.8,17.4,13.8,224.6,120.4,104.2,124,100.6,0.536007937,0.876192663,0.29721584,0.868267733,0.883914091,0.138888889,0.297444202,0.784576907,0.687478705,0.469273502,0.65070821,0.858012479,0.851881824,0.209470733,0.968643103,0.716024959,0.716024959,1.624484276,3.6,0.014253968,0.809416799,0.779997282,0.856553824,0.913791303,0.847199926,0.865065228,0.900352341,0.876192663,0.876555845,0.75311169,31.2,0.85275935
6,0.908285714,0.504788192,0.504667663,0.814830154,0.818295534,0.816571429,0.038852267,0.814784896,0.814784896,0.816571429,0.890980597,0.019243467,0.946002909,149.3080458,0.664789976,0.815236512,0.990945335,0.99484428,0.995552663,1.432218481,0.437374201,0.553571134,0.000708383,0.796445963,0.801959842,1,0.830679684,0.091714286,20.6,0.536031746,2.22E-17,0.404907533,0.324962659,0.815236512,112.3,0.895361055,0.906508283,0.906508283,0.556434375,0.631807919,0.908285714,0.906508283,0.815243134,0.665441483,0.908285714,0.906508283,0.826868102,0.815197196,0.093491717,0.093491717,0.908734851,0.908285714,0.907392448,0.091714286,0.091714286,0.908285714,0.908285714,0.9230484,0.889968165,0.90727121,0.910198493,0.0769516,0.110031835,0.09272879,0.089801507,0.908285714,0.914983298,0.815236512,0.813016565,0.817469703,8.63649561,0.086259155,101.8236441,111.2,92.8,11.4,9.2,224.6,120.4,104.2,122.6,102,0.536031746,0.915071544,0.293250498,0.910314861,0.919778793,0.091714286,0.293310763,0.843384497,0.760355253,0.385102688,0.571512836,0.906508283,0.903853461,0.13597174,1.103708286,0.813016565,0.813016565,1.695627363,2.2,0.006670635,0.888027762,0.848321728,0.906222486,0.980015401,0.901207507,0.912837226,0.926213855,0.915071544,0.915159805,0.83031961,20.6,0.904105755
7,0.837896825,0.505841306,0.505606911,0.671979123,0.679579261,0.675793651,0.046241982,0.671817135,0.671817135,0.675793651,0.762613408,0.022855638,0.882693875,110.9881308,0.494043274,0.672612542,0.989212283,0.993172437,0.994542411,1.572263124,0.579090687,0.410121596,0.001369974,0.637319327,0.645393325,1,0.731412316,0.162103175,36.4,0.539579365,9.54E-06,0.538377594,0.423416319,0.672612542,112.3,0.819765183,0.835302075,0.835302075,0.41272993,0.541496972,0.837896825,0.835302075,0.672621243,0.494837497,0.837896825,0.835302075,0.715862821,0.672547883,0.164697925,0.164697925,0.837319169,0.837896825,0.835908567,0.162103175,0.162103175,0.837896825,0.837896825,0.857783035,0.812821115,0.84274306,0.831895277,0.142216965,0.187178885,0.15725694,0.168104723,0.837896825,0.849918498,0.672612542,0.670604149,0.674638337,7.359775204,0.195078982,105.3729604,103.4,84.8,19.4,17,224.6,120.4,104.2,122.8,101.8,0.536007937,0.850090744,0.294148694,0.845532307,0.85455266,0.162103175,0.294265891,0.750074907,0.64549837,0.516619432,0.69033446,0.835302075,0.831872051,0.237768826,0.889223282,0.670604149,0.670604149,1.576380594,2.4,0.009801587,0.800006415,0.734129426,0.834578392,0.879887711,0.827914255,0.840851623,0.865704749,0.850090744,0.850263047,0.700526094,36.4,0.834821345
8,0.870043651,0.50560479,0.50483221,0.738377258,0.742478983,0.740087302,0.042247906,0.737626844,0.737626844,0.740087302,0.821183154,0.020943712,0.911093327,130.4292933,0.580821854,0.739996149,0.988893387,0.992647799,0.99714862,1.496045552,0.503397753,0.485495634,0.004500821,0.70075637,0.723298666,1,0.778945017,0.129956349,29.2,0.543190476,4.53E-09,0.46696568,0.369801753,0.739996149,112.3,0.847223669,0.869479681,0.869479681,0.48992032,0.581701879,0.870043651,0.869479681,0.740003381,0.579664199,0.870043651,0.869479681,0.768533271,0.738210701,0.130520319,0.130520319,0.8705237,0.870043651,0.868813422,0.129956349,0.129956349,0.870043651,0.870043651,0.898632888,0.840326475,0.864193557,0.876853843,0.101367112,0.159673525,0.135806443,0.123146157,0.870043651,0.880340452,0.739996149,0.738959363,0.7410474,8.597250119,0.137558863,111.0094834,108.4,87,17.2,12,224.6,120.4,104.2,125.6,99,0.536047619,0.880876382,0.300045073,0.870417255,0.891034365,0.129956349,0.300431363,0.795751966,0.680650691,0.443842303,0.615786425,0.869479681,0.865260226,0.190550815,1.007914493,0.738959363,0.738959363,1.610770047,5.2,0.014248016,0.830371419,0.799540228,0.868360653,0.921129934,0.859146893,0.879736643,0.903128697,0.880876382,0.881413222,0.762826444,29.2,0.859697748
9,0.870821429,0.5092924,0.506877808,0.740175484,0.745000371,0.741642857,0.043498247,0.737929816,0.737929816,0.741642857,0.825432049,0.021505342,0.912971899,128.2779957,0.571021846,0.745597911,0.982232988,0.983650953,0.997872428,1.495859343,0.51220839,0.470024598,0.014221475,0.694101233,0.711684624,1,0.774410426,0.129178571,29,0.552968254,9.51E-11,0.468880017,0.367912225,0.745597911,112.3,0.832113136,0.873060759,0.873060759,0.479157455,0.591911802,0.870821429,0.873060759,0.745671007,0.566120151,0.870821429,0.873060759,0.76895176,0.738513496,0.126939241,0.126939241,0.872610247,0.870821429,0.868964908,0.129178571,0.129178571,0.870821429,0.870821429,0.907696448,0.83842507,0.860180492,0.885040003,0.092303552,0.16157493,0.139819508,0.114959997,0.870821429,0.880654739,0.745597911,0.746121519,0.745220495,7.988405261,0.115505905,95.71423932,109.4,86.2,18,11,224.6,120.4,104.2,127.4,97.2,0.536007937,0.882290188,0.305075809,0.867714927,0.895935244,0.129178571,0.306283105,0.792558282,0.681174591,0.445826268,0.619739705,0.873060759,0.864457897,0.191685481,1.001544272,0.746121519,0.746121519,1.608658106,7,0.024517857,0.81829556,0.805651833,0.870718052,0.950579403,0.859471829,0.884152768,0.920805342,0.882290188,0.88393847,0.76787694,29,0.847071599
