	cand_id	database match	percent identity	align length	e-value	BGC match	domain class	domain subclass	
C1475	NZ_CP093321.1.region007_6_3_1070_1508	syringomycin_C05_LCL	62	439	3.44e-172	syringomycin	LCL	no subclass
C1312	NZ_CP093321.1.region007_6_3_2161_2592	arthrofactin_C04_DCL	60	432	1.59e-163	arthrofactin	DCL	no subclass
C574	NZ_CP093321.1.region007_6_3_5346_5795	syringomycin_C07_LCL	57	452	3.46e-156	syringomycin	LCL	no subclass
C1103	NZ_CP093321.1.region007_6_3_3209_3642	syringomycin_C09_LCL	55	434	6.21e-150	syringomycin	LCL	no subclass
C1659	NZ_CP093321.1.region007_6_3_88_458	syringomycin_C01_starter	46	375	3.04e-108	syringomycin	starter	no subclass
C1476	NZ_CP036493.1.region007_6_3_1070_1508	syringomycin_C05_LCL	62	439	3.44e-172	syringomycin	LCL	no subclass
C1311	NZ_CP036493.1.region007_6_3_2161_2592	arthrofactin_C04_DCL	60	432	1.59e-163	arthrofactin	DCL	no subclass
C573	NZ_CP036493.1.region007_6_3_5346_5795	syringomycin_C07_LCL	57	452	3.46e-156	syringomycin	LCL	no subclass
C1102	NZ_CP036493.1.region007_6_3_3209_3642	syringomycin_C09_LCL	55	434	6.21e-150	syringomycin	LCL	no subclass
C1658	NZ_CP036493.1.region007_6_3_88_458	syringomycin_C01_starter	46	375	3.04e-108	syringomycin	starter	no subclass
C1465	NZ_CP005969.1.region009_6_2_1070_1508	syringomycin_C05_LCL	62	439	7.53e-171	syringomycin	LCL	no subclass
C1303	NZ_CP005969.1.region009_6_2_2161_2592	arthrofactin_C02_DCL	60	432	2.78e-164	arthrofactin	DCL	no subclass
C870	NZ_CP005969.1.region009_6_2_4279_4720	syringomycin_C07_LCL	58	442	1.57e-157	syringomycin	LCL	no subclass
C1655	NZ_CP005969.1.region009_6_2_88_458	syringomycin_C01_starter	44	375	2.27e-106	syringomycin	starter	no subclass
